id,key,value,type
24030380,lit,yes,regular
24030380,ref,A-5,regular
24030380,name,Autovía del Suroeste,regular
24030380,lanes,2,regular
24030380,oneway,yes,regular
24030380,source,survey,regular
24030380,highway,motorway,regular
24030380,int_ref,E 90,regular
24030380,nat_ref,A-5,regular
24030380,surface,paved,regular
24030380,maxspeed,120,regular
24030380,operator,Administración central,regular
24030381,ref,M-50,regular
24030381,lanes,2,regular
24030381,layer,-1,regular
24030381,oneway,yes,regular
24030381,source,PNOA,regular
24030381,highway,motorway,regular
24030381,nat_ref,M-50,regular
24030381,surface,paved;asphalt,regular
24030381,colour,blue,ref
24030381,date,2009,source
24256630,name,Avenida Cosme García Sáenz,regular
24256630,oneway,no,regular
24256630,highway,tertiary,regular
24256630,surface,asphalt,regular
24256630,forward,2,lanes
24256630,backward,1,lanes
24256630,forward,60,maxspeed
24256631,name,Avenida Cosme García Sáenz,regular
24256631,layer,1,regular
24256631,bridge,yes,regular
24256631,oneway,no,regular
24256631,highway,tertiary,regular
24256631,surface,asphalt,regular
24256631,forward,2,lanes
24256631,backward,1,lanes
24256631,forward,60,maxspeed
24256632,lanes,1,regular
24256632,oneway,yes,regular
24256632,highway,motorway_link,regular
24256632,maxspeed,40,regular
24256632,destination,Móstoles; centro de exámenes DGT;hospital Rey Juan Carlos; universidad,regular
24256633,name,Calle Margarita,regular
24256633,lanes,4,regular
24256633,highway,tertiary,regular
24256633,forward,Móstoles,destination
24256634,lit,yes,regular
24256634,name,Calle Tokio,regular
24256634,lanes,1,regular
24256634,oneway,yes,regular
24256634,highway,residential,regular
24256634,surface,asphalt,regular
24256635,name,Calle Camino de Leganés,regular
24256635,highway,tertiary,regular
24256635,maxspeed,40,regular
24256636,name,Calle Mariblanca,regular
24256636,lanes,2,regular
24256636,highway,residential,regular
24256638,name,Avenida Alcalde de Móstoles,regular
24256638,lanes,3,regular
24256638,highway,tertiary,regular
24256638,junction,roundabout,regular
24650215,ref,M-50,regular
24650215,lanes,2,regular
24650215,layer,-1,regular
24650215,oneway,yes,regular
24650215,source,PNOA,regular
24650215,highway,motorway,regular
24650215,nat_ref,M-50,regular
24650215,surface,paved;asphalt,regular
24650215,maxspeed,120,regular
24650215,colour,blue,ref
24650215,date,2009,source
26636807,lit,yes,regular
26636807,lanes,1,regular
26636807,oneway,yes,regular
26636807,highway,motorway_link,regular
27912163,name,Calle Pintor Velázquez,regular
27912163,highway,tertiary,regular
27912164,lit,yes,regular
27912164,name,Avenida de Portugal,regular
27912164,lanes,2,regular
27912164,oneway,yes,regular
27912164,highway,primary,regular
27912164,maxspeed,40,regular
27912164,sidewalk,right,regular
27912167,name,Avenida de Portugal,regular
27912167,oneway,yes,regular
27912167,highway,primary,regular
27912167,maxspeed,40,regular
27912167,sidewalk,right,regular
27912167,destination,Alcorcón; N-V Madrid;Prado Ovejero,regular
27912170,name,Avenida de Portugal,regular
27912170,lanes,2,regular
27912170,oneway,yes,regular
27912170,highway,primary,regular
27912170,maxspeed,40,regular
27912170,sidewalk,right,regular
27912176,lit,yes,regular
27912176,name,Calle Granada,regular
27912176,lanes,3,regular
27912176,oneway,yes,regular
27912176,source,PNOA,regular
27912176,highway,tertiary,regular
27912176,surface,asphalt,regular
27912176,maxspeed,40,regular
27912178,name,Calle Granada,regular
27912178,lanes,2,regular
27912178,oneway,yes,regular
27912178,highway,tertiary,regular
27912178,sidewalk,right,regular
27912178,destination,N-V Madrid Badajoz; El Soto,regular
27912199,oneway,no,regular
27912199,highway,tertiary,regular
27912199,maxspeed,40,regular
27912199,forward,2,lanes
27912199,backward,2,lanes
27912202,name,Calle Juan de Ocaña,regular
27912202,oneway,no,regular
27912202,highway,residential,regular
27912202,cycleway,shared_lane,regular
27912202,maxspeed,30,regular
27912202,sidewalk,both,regular
27912202,forward,1,lanes
27912202,backward,1,lanes
27912202,backward,give_way,highway
27912204,name,Avenida de Portugal,regular
27912204,lanes,2,regular
27912204,oneway,yes,regular
27912204,highway,primary,regular
27912204,maxspeed,40,regular
27912204,sidewalk,right,regular
27912205,name,Avenida de Portugal,regular
27912205,lanes,2,regular
27912205,oneway,yes,regular
27912205,highway,primary,regular
27912205,sidewalk,right,regular
27912208,name,Avenida de Portugal,regular
27912208,lanes,2,regular
27912208,oneway,yes,regular
27912208,highway,primary,regular
27912208,maxspeed,40,regular
27912208,sidewalk,right,regular
27912208,destination,Hospital General de Móstoles,regular
27912211,name,Avenida de Portugal,regular
27912211,lanes,2,regular
27912211,oneway,yes,regular
27912211,highway,primary,regular
27912211,maxspeed,30,regular
27912211,sidewalk,right,regular
27912216,name,Avenida Dos de Mayo,regular
27912216,oneway,no,regular
